pub_date	title	venue	excerpt	citation	url_slug	paper_url
2026-02-23	Janus-Q: End-to-End Event-Driven Trading via Hierarchical-Gated Reward Modeling	arXiv preprint arXiv:2602.19919		"Li, X., Wei, Z., Qi, Y., Zhou, W., Liu, X., Sun, P., Guo, J., Zhang, Y., & Chu, X. (2026). ""Janus-Q: End-to-End Event-Driven Trading via Hierarchical-Gated Reward Modeling."" <i>arXiv preprint arXiv:2602.19919</i>."	janus-q-end-to-end-event-driven-trading-via-hierarchical-gated-reward-modeling	https://arxiv.org/abs/2602.19919
2026-01-01	FinKario: Event-Enhanced Automated Construction of Financial Knowledge Graph	ACL 2026 (accepted)		"Li, X., Sun, P., Zhou, W., Wei, Z., Zhang, Y., & Chu, X. (2026). ""FinKario: Event-Enhanced Automated Construction of Financial Knowledge Graph."" <i>ACL 2026</i> (accepted). arXiv:2508.00961."	finkario-event-enhanced-automated-construction-of-financial-knowledge-graph	https://arxiv.org/abs/2508.00961
2023-11-01	E2EAI: End-to-End Deep Learning Framework for Active Investing	Proceedings of the 4th ACM International Conference on AI in Finance (ICAIF '23)		"Wei, Z., Dai, B., & Lin, D. (2023). ""E2EAI: End-to-End Deep Learning Framework for Active Investing."" <i>Proceedings of the 4th ACM International Conference on AI in Finance (ICAIF '23)</i>. 55-63."	e2eai-end-to-end-deep-learning-framework-for-active-investing	https://arxiv.org/abs/2305.16364
2023-08-01	HireVAE: An Online and Adaptive Factor Model Based on Hierarchical and Regime-Switch VAE	Proceedings of the Thirty-Second International Joint Conference on Artificial Intelligence (IJCAI)		"Wei, Z., Rao, A., Dai, B., & Lin, D. (2023). ""HireVAE: An Online and Adaptive Factor Model Based on Hierarchical and Regime-Switch VAE."" <i>Proceedings of the Thirty-Second International Joint Conference on Artificial Intelligence (IJCAI)</i>. 4903-4911."	hirevae-an-online-and-adaptive-factor-model	https://www.ijcai.org/proceedings/2023/545
2023-01-01	Deep Learning for Predicting Real-World Outcomes	PhD Thesis, The Chinese University of Hong Kong (PQDT Global)		"Wei, Z. (2023). ""Deep Learning for Predicting Real-World Outcomes."" <i>PhD Thesis, The Chinese University of Hong Kong</i>."	deep-learning-for-predicting-real-world-outcomes	
2022-10-22	Factor Investing with a Deep Multi-Factor Model	arXiv preprint arXiv:2210.12462		"Wei, Z., Dai, B., & Lin, D. (2022). ""Factor Investing with a Deep Multi-Factor Model."" <i>arXiv preprint arXiv:2210.12462</i>."	factor-investing-with-a-deep-multi-factor-model	https://arxiv.org/abs/2210.12462
2022-10-17	Rethinking Trajectory Prediction via "Team Game"	arXiv preprint arXiv:2210.08793		"Wei, Z., Zhu, X., Dai, B., & Lin, D. (2022). ""Rethinking Trajectory Prediction via Team Game."" <i>arXiv preprint arXiv:2210.08793</i>."	rethinking-trajectory-prediction-via-team-game	https://arxiv.org/abs/2210.08793
2020-01-01	Jump Detection in Financial Time Series using Machine Learning Algorithms	Soft Computing		"Au Yeung, J. F. K., Wei, Z., Chan, K. Y., Lau, H. Y. K., & Yiu, K. F. C. (2020). ""Jump Detection in Financial Time Series using Machine Learning Algorithms."" <i>Soft Computing</i>. 24(3), 1789-1801."	jump-detection-in-financial-time-series-using-machine-learning-algorithms	
2018-01-01	A Novel Multivariate Volatility Modeling for Risk Management in Stock Markets	International Journal of Fuzzy Systems		"Wei, Z. K., Yiu, K. F. C., Wong, H., & Chan, K. Y. (2018). ""A Novel Multivariate Volatility Modeling for Risk Management in Stock Markets."" <i>International Journal of Fuzzy Systems</i>. 20(1), 116-127."	a-novel-multivariate-volatility-modeling-for-risk-management-in-stock-markets	
2017-01-01	Volatility Forecasting with Fuzzy Methods	MPhil Thesis, The Hong Kong Polytechnic University		"Wei, Z. (2017). ""Volatility Forecasting with Fuzzy Methods."" <i>MPhil Thesis, The Hong Kong Polytechnic University</i>."	volatility-forecasting-with-fuzzy-methods	
2014-09-01	Copulas-based algorithmic trading strategy and its risk measurement	Statistics and Decision		"Zhang K., Wei Z.K. (2014). ""Copulas-based algorithmic trading strategy and its risk measurement, Statistics and Decision."" <i>Statistics and Decision</i>. 56-58(16)."	copulas-based-algorithmic-trading-strategy-and-its-risk-measurement	
2014-08-01	Report on the innovation and development of China's special economic zones, Annual Report on the Development of China's Special Economic Zones (2013)	Social Science Academic Press (CHINA)		"Zhang K., Wei Z.K. (2014). ""Report on the innovation and development of China's special economic zones, Annual Report on the Development of China's Special Economic Zones (2013)"" <i> Social Science Academic Press (CHINA)</i>. 68-96 (1)."	Report-on-the-innovation-and-development-of-China-s-special-economic-zones-Annual-Report-on-the-Development-of-China-s-Special-Economic-Zones-(2013)	
